,header,Length,%GC
0,>lcl|CP031558.1_cds_1,3872,0.18
416,>lcl|CP031558.1_cds_AYJ08179.1_417,1650,0.37
417,>lcl|CP031558.1_cds_AYJ08180.1_418,1005,0.37
418,>lcl|CP031558.1_cds_AYJ08181.1_419,858,0.37
419,>lcl|CP031558.1_cds_AYJ08182.1_420,864,0.37
420,>lcl|CP031558.1_cds_AYJ08183.1_421,807,0.37
421,>lcl|CP031558.1_cds_AYJ08184.1_422,1083,0.37
422,>lcl|CP031558.1_cds_AYJ08185.1_423,996,0.37
423,>lcl|CP031558.1_cds_AYJ08186.1_424,555,0.37
424,>lcl|CP031558.1_cds_AYJ08187.1_425,1293,0.37
425,>lcl|CP031558.1_cds_AYJ08188.1_426,273,0.37
426,>lcl|CP031558.1_cds_AYJ08189.1_427,405,0.37
427,>lcl|CP031558.1_cds_AYJ08190.1_428,885,0.37
428,>lcl|CP031558.1_cds_AYJ08191.1_429,882,0.37
429,>lcl|CP031558.1_cds_AYJ08192.1_430,693,0.37
430,>lcl|CP031558.1_cds_AYJ08193.1_431,1110,0.37
431,>lcl|CP031558.1_cds_AYJ08194.1_432,378,0.37
432,>lcl|CP031558.1_cds_AYJ08195.1_433,966,0.37
433,>lcl|CP031558.1_cds_AYJ08196.1_434,1146,0.37
434,>lcl|CP031558.1_cds_435,181,0.37
435,>lcl|CP031558.1_cds_AYJ08197.1_436,756,0.37
436,>lcl|CP031558.1_cds_AYJ08198.1_437,1626,0.37
437,>lcl|CP031558.1_cds_AYJ08199.1_438,240,0.37
438,>lcl|CP031558.1_cds_AYJ08200.1_439,621,0.37
439,>lcl|CP031558.1_cds_AYJ08201.1_440,1338,0.37
440,>lcl|CP031558.1_cds_AYJ08202.1_441,543,0.37
441,>lcl|CP031558.1_cds_AYJ08203.1_442,765,0.37
442,>lcl|CP031558.1_cds_AYJ08204.1_443,714,0.37
443,>lcl|CP031558.1_cds_AYJ08205.1_444,684,0.37
444,>lcl|CP031558.1_cds_AYJ08206.1_445,894,0.37
445,>lcl|CP031558.1_cds_AYJ08207.1_446,543,0.37
446,>lcl|CP031558.1_cds_AYJ08208.1_447,939,0.37
447,>lcl|CP031558.1_cds_AYJ08209.1_448,783,0.37
448,>lcl|CP031558.1_cds_AYJ08210.1_449,993,0.37
449,>lcl|CP031558.1_cds_AYJ08211.1_450,807,0.37
450,>lcl|CP031558.1_cds_AYJ08212.1_451,234,0.37
451,>lcl|CP031558.1_cds_AYJ08213.1_452,801,0.37
452,>lcl|CP031558.1_cds_AYJ08214.1_453,405,0.37
453,>lcl|CP031558.1_cds_454,434,0.37
454,>lcl|CP031558.1_cds_AYJ08215.1_455,339,0.37
455,>lcl|CP031558.1_cds_AYJ08216.1_456,561,0.37
456,>lcl|CP031558.1_cds_AYJ08217.1_457,330,0.37
457,>lcl|CP031558.1_cds_AYJ08218.1_458,267,0.37
458,>lcl|CP031558.1_cds_459,69,0.37
459,>lcl|CP031558.1_cds_460,196,0.37
460,>lcl|CP031558.1_cds_AYJ08219.1_461,387,0.38
461,>lcl|CP031558.1_cds_AYJ08220.1_462,786,0.38
462,>lcl|CP031558.1_cds_AYJ08221.1_463,1086,0.38
463,>lcl|CP031558.1_cds_AYJ08222.1_464,882,0.38
464,>lcl|CP031558.1_cds_AYJ08223.1_465,1551,0.38
465,>lcl|CP031558.1_cds_AYJ08224.1_466,1617,0.38
466,>lcl|CP031558.1_cds_AYJ08225.1_467,663,0.38
467,>lcl|CP031558.1_cds_AYJ08226.1_468,1704,0.38
468,>lcl|CP031558.1_cds_AYJ08227.1_469,1032,0.38
469,>lcl|CP031558.1_cds_AYJ08228.1_470,777,0.38
470,>lcl|CP031558.1_cds_AYJ08229.1_471,1857,0.38
471,>lcl|CP031558.1_cds_AYJ08230.1_472,1809,0.38
472,>lcl|CP031558.1_cds_AYJ08231.1_473,930,0.38
473,>lcl|CP031558.1_cds_474,276,0.38
474,>lcl|CP031558.1_cds_AYJ08232.1_475,810,0.38
475,>lcl|CP031558.1_cds_AYJ08233.1_476,1287,0.38
476,>lcl|CP031558.1_cds_AYJ08234.1_477,2526,0.38
477,>lcl|CP031558.1_cds_478,2335,0.38
478,>lcl|CP031558.1_cds_AYJ08235.1_479,1926,0.38
479,>lcl|CP031558.1_cds_AYJ08236.1_480,843,0.38
480,>lcl|CP031558.1_cds_AYJ08237.1_481,708,0.38
481,>lcl|CP031558.1_cds_AYJ08238.1_482,516,0.38
482,>lcl|CP031558.1_cds_AYJ08239.1_483,924,0.38
483,>lcl|CP031558.1_cds_AYJ08240.1_484,1440,0.38
484,>lcl|CP031558.1_cds_AYJ08241.1_485,1656,0.38
485,>lcl|CP031558.1_cds_AYJ08242.1_486,624,0.38
486,>lcl|CP031558.1_cds_AYJ08243.1_487,573,0.38
487,>lcl|CP031558.1_cds_AYJ08244.1_488,1149,0.38
488,>lcl|CP031558.1_cds_AYJ08245.1_489,678,0.38
489,>lcl|CP031558.1_cds_AYJ08246.1_490,996,0.38
490,>lcl|CP031558.1_cds_AYJ08247.1_491,516,0.38
491,>lcl|CP031558.1_cds_AYJ08248.1_492,1311,0.38
492,>lcl|CP031558.1_cds_AYJ09165.1_493,189,0.38
493,>lcl|CP031558.1_cds_AYJ08249.1_494,201,0.38
494,>lcl|CP031558.1_cds_AYJ08250.1_495,2226,0.38
495,>lcl|CP031558.1_cds_AYJ08251.1_496,714,0.38
496,>lcl|CP031558.1_cds_AYJ08252.1_497,255,0.38
497,>lcl|CP031558.1_cds_AYJ08253.1_498,1899,0.38
498,>lcl|CP031558.1_cds_AYJ08254.1_499,1002,0.38
499,>lcl|CP031558.1_cds_AYJ08255.1_500,375,0.38
500,>lcl|CP031558.1_cds_AYJ08256.1_501,603,0.38
501,>lcl|CP031558.1_cds_AYJ08257.1_502,408,0.38
502,>lcl|CP031558.1_cds_AYJ08258.1_503,282,0.38
503,>lcl|CP031558.1_cds_AYJ08259.1_504,537,0.38
504,>lcl|CP031558.1_cds_AYJ08260.1_505,1038,0.38
505,>lcl|CP031558.1_cds_AYJ08261.1_506,750,0.38
506,>lcl|CP031558.1_cds_AYJ08262.1_507,474,0.38
507,>lcl|CP031558.1_cds_AYJ08263.1_508,1011,0.38
508,>lcl|CP031558.1_cds_AYJ08264.1_509,813,0.38
509,>lcl|CP031558.1_cds_AYJ09166.1_510,723,0.38
510,>lcl|CP031558.1_cds_AYJ08265.1_511,855,0.38
511,>lcl|CP031558.1_cds_AYJ08266.1_512,939,0.38
512,>lcl|CP031558.1_cds_AYJ09167.1_513,1269,0.38
513,>lcl|CP031558.1_cds_AYJ08267.1_514,654,0.38
514,>lcl|CP031558.1_cds_AYJ08268.1_515,888,0.38
515,>lcl|CP031558.1_cds_AYJ08269.1_516,474,0.38
516,>lcl|CP031558.1_cds_AYJ08270.1_517,882,0.38
517,>lcl|CP031558.1_cds_AYJ08271.1_518,270,0.38
518,>lcl|CP031558.1_cds_AYJ08272.1_519,2844,0.38
519,>lcl|CP031558.1_cds_AYJ08273.1_520,336,0.38
520,>lcl|CP031558.1_cds_AYJ08274.1_521,441,0.38
521,>lcl|CP031558.1_cds_AYJ08275.1_522,1989,0.38
522,>lcl|CP031558.1_cds_AYJ09168.1_523,1113,0.38
523,>lcl|CP031558.1_cds_AYJ08276.1_524,672,0.38
524,>lcl|CP031558.1_cds_AYJ08277.1_525,1047,0.38
525,>lcl|CP031558.1_cds_AYJ08278.1_526,2202,0.38
526,>lcl|CP031558.1_cds_AYJ08279.1_527,273,0.38
527,>lcl|CP031558.1_cds_AYJ08280.1_528,1290,0.38
528,>lcl|CP031558.1_cds_AYJ08281.1_529,504,0.38
529,>lcl|CP031558.1_cds_AYJ08282.1_530,1074,0.38
530,>lcl|CP031558.1_cds_AYJ08283.1_531,492,0.38
531,>lcl|CP031558.1_cds_AYJ08284.1_532,1380,0.38
532,>lcl|CP031558.1_cds_AYJ08285.1_533,885,0.38
533,>lcl|CP031558.1_cds_AYJ08286.1_534,315,0.38
534,>lcl|CP031558.1_cds_AYJ08287.1_535,777,0.38
535,>lcl|CP031558.1_cds_AYJ08288.1_536,1065,0.38
536,>lcl|CP031558.1_cds_AYJ08289.1_537,858,0.38
537,>lcl|CP031558.1_cds_AYJ08290.1_538,537,0.38
538,>lcl|CP031558.1_cds_AYJ08291.1_539,498,0.38
539,>lcl|CP031558.1_cds_AYJ08292.1_540,453,0.38
540,>lcl|CP031558.1_cds_541,1177,0.38
541,>lcl|CP031558.1_cds_AYJ08293.1_542,372,0.38
542,>lcl|CP031558.1_cds_AYJ08294.1_543,867,0.38
543,>lcl|CP031558.1_cds_AYJ08295.1_544,1251,0.38
544,>lcl|CP031558.1_cds_AYJ08296.1_545,867,0.38
545,>lcl|CP031558.1_cds_AYJ08297.1_546,162,0.38
546,>lcl|CP031558.1_cds_AYJ08298.1_547,897,0.38
547,>lcl|CP031558.1_cds_AYJ08299.1_548,1221,0.38
548,>lcl|CP031558.1_cds_AYJ08300.1_549,1431,0.38
549,>lcl|CP031558.1_cds_AYJ08301.1_550,1443,0.38
550,>lcl|CP031558.1_cds_AYJ08302.1_551,603,0.38
551,>lcl|CP031558.1_cds_AYJ08303.1_552,609,0.38
552,>lcl|CP031558.1_cds_AYJ08304.1_553,789,0.38
553,>lcl|CP031558.1_cds_AYJ08305.1_554,903,0.38
554,>lcl|CP031558.1_cds_AYJ08306.1_555,1335,0.38
555,>lcl|CP031558.1_cds_AYJ08307.1_556,1056,0.38
556,>lcl|CP031558.1_cds_AYJ08308.1_557,2028,0.38
557,>lcl|CP031558.1_cds_AYJ08309.1_558,1092,0.38
558,>lcl|CP031558.1_cds_AYJ08310.1_559,1629,0.38
559,>lcl|CP031558.1_cds_AYJ08311.1_560,2283,0.38
560,>lcl|CP031558.1_cds_AYJ08312.1_561,648,0.38
561,>lcl|CP031558.1_cds_AYJ08313.1_562,1896,0.38
562,>lcl|CP031558.1_cds_AYJ08314.1_563,768,0.38
563,>lcl|CP031558.1_cds_AYJ08315.1_564,348,0.38
564,>lcl|CP031558.1_cds_AYJ08316.1_565,1488,0.38
565,>lcl|CP031558.1_cds_AYJ08317.1_566,501,0.38
566,>lcl|CP031558.1_cds_AYJ08318.1_567,1737,0.38
567,>lcl|CP031558.1_cds_AYJ08319.1_568,1251,0.38
568,>lcl|CP031558.1_cds_AYJ08320.1_569,183,0.38
569,>lcl|CP031558.1_cds_AYJ08321.1_570,561,0.38
570,>lcl|CP031558.1_cds_AYJ09169.1_571,168,0.38
571,>lcl|CP031558.1_cds_572,544,0.38
572,>lcl|CP031558.1_cds_573,649,0.38
573,>lcl|CP031558.1_cds_574,798,0.38
574,>lcl|CP031558.1_cds_AYJ08322.1_575,1392,0.38
575,>lcl|CP031558.1_cds_AYJ08323.1_576,1107,0.38
576,>lcl|CP031558.1_cds_AYJ08324.1_577,1638,0.38
577,>lcl|CP031558.1_cds_AYJ08325.1_578,843,0.38
578,>lcl|CP031558.1_cds_AYJ08326.1_579,1800,0.38
579,>lcl|CP031558.1_cds_AYJ08327.1_580,930,0.38
580,>lcl|CP031558.1_cds_AYJ08328.1_581,609,0.38
581,>lcl|CP031558.1_cds_AYJ08329.1_582,945,0.38
582,>lcl|CP031558.1_cds_AYJ08330.1_583,1587,0.38
583,>lcl|CP031558.1_cds_AYJ08331.1_584,1446,0.38
584,>lcl|CP031558.1_cds_585,2458,0.38
585,>lcl|CP031558.1_cds_AYJ08332.1_586,363,0.38
586,>lcl|CP031558.1_cds_587,1136,0.38
587,>lcl|CP031558.1_cds_588,199,0.38
588,>lcl|CP031558.1_cds_AYJ08333.1_589,189,0.38
589,>lcl|CP031558.1_cds_AYJ08334.1_590,849,0.38
590,>lcl|CP031558.1_cds_AYJ08335.1_591,1062,0.38
591,>lcl|CP031558.1_cds_AYJ08336.1_592,1269,0.38
592,>lcl|CP031558.1_cds_AYJ08337.1_593,261,0.38
593,>lcl|CP031558.1_cds_AYJ08338.1_594,402,0.38
594,>lcl|CP031558.1_cds_AYJ08339.1_595,1329,0.38
595,>lcl|CP031558.1_cds_AYJ08340.1_596,1329,0.38
596,>lcl|CP031558.1_cds_AYJ08341.1_597,1068,0.38
597,>lcl|CP031558.1_cds_AYJ08342.1_598,1125,0.38
598,>lcl|CP031558.1_cds_AYJ08343.1_599,2322,0.38
599,>lcl|CP031558.1_cds_600,995,0.38
600,>lcl|CP031558.1_cds_601,755,0.38
601,>lcl|CP031558.1_cds_AYJ08344.1_602,1209,0.38
602,>lcl|CP031558.1_cds_AYJ08345.1_603,639,0.38
603,>lcl|CP031558.1_cds_AYJ08346.1_604,1308,0.38
604,>lcl|CP031558.1_cds_605,1378,0.38
605,>lcl|CP031558.1_cds_AYJ08347.1_606,765,0.38
606,>lcl|CP031558.1_cds_AYJ08348.1_607,117,0.38
607,>lcl|CP031558.1_cds_AYJ08349.1_608,201,0.38
608,>lcl|CP031558.1_cds_AYJ08350.1_609,1446,0.38
609,>lcl|CP031558.1_cds_AYJ08351.1_610,1980,0.38
610,>lcl|CP031558.1_cds_AYJ08352.1_611,453,0.38
611,>lcl|CP031558.1_cds_AYJ08353.1_612,543,0.38
612,>lcl|CP031558.1_cds_AYJ08354.1_613,1332,0.38
613,>lcl|CP031558.1_cds_AYJ08355.1_614,909,0.38
614,>lcl|CP031558.1_cds_AYJ08356.1_615,993,0.38
615,>lcl|CP031558.1_cds_AYJ08357.1_616,849,0.38
616,>lcl|CP031558.1_cds_AYJ08358.1_617,348,0.38
617,>lcl|CP031558.1_cds_AYJ08359.1_618,198,0.38
618,>lcl|CP031558.1_cds_AYJ08360.1_619,1446,0.38
619,>lcl|CP031558.1_cds_AYJ08361.1_620,510,0.38
620,>lcl|CP031558.1_cds_AYJ08362.1_621,2247,0.38
621,>lcl|CP031558.1_cds_AYJ08363.1_622,993,0.38
622,>lcl|CP031558.1_cds_AYJ08364.1_623,600,0.38
623,>lcl|CP031558.1_cds_AYJ08365.1_624,5391,0.38
624,>lcl|CP031558.1_cds_AYJ08366.1_625,1566,0.38
625,>lcl|CP031558.1_cds_AYJ08367.1_626,1608,0.38
626,>lcl|CP031558.1_cds_AYJ08368.1_627,759,0.38
627,>lcl|CP031558.1_cds_AYJ08369.1_628,648,0.38
628,>lcl|CP031558.1_cds_AYJ08370.1_629,843,0.38
629,>lcl|CP031558.1_cds_AYJ08371.1_630,600,0.38
630,>lcl|CP031558.1_cds_AYJ08372.1_631,207,0.38
631,>lcl|CP031558.1_cds_AYJ09170.1_632,378,0.38
632,>lcl|CP031558.1_cds_AYJ08373.1_633,345,0.38
633,>lcl|CP031558.1_cds_AYJ08374.1_634,1131,0.38
634,>lcl|CP031558.1_cds_AYJ08375.1_635,921,0.38
635,>lcl|CP031558.1_cds_AYJ08376.1_636,714,0.38
636,>lcl|CP031558.1_cds_AYJ08377.1_637,1146,0.38
637,>lcl|CP031558.1_cds_AYJ08378.1_638,1113,0.38
638,>lcl|CP031558.1_cds_AYJ08379.1_639,432,0.38
639,>lcl|CP031558.1_cds_AYJ08380.1_640,807,0.38
640,>lcl|CP031558.1_cds_AYJ08381.1_641,2952,0.38
641,>lcl|CP031558.1_cds_AYJ08382.1_642,624,0.39
642,>lcl|CP031558.1_cds_AYJ08383.1_643,348,0.39
643,>lcl|CP031558.1_cds_AYJ08384.1_644,228,0.39
644,>lcl|CP031558.1_cds_AYJ08385.1_645,3546,0.39
645,>lcl|CP031558.1_cds_646,69,0.39
646,>lcl|CP031558.1_cds_AYJ09171.1_647,273,0.39
647,>lcl|CP031558.1_cds_AYJ08386.1_648,768,0.39
648,>lcl|CP031558.1_cds_AYJ08387.1_649,1317,0.39
649,>lcl|CP031558.1_cds_AYJ08388.1_650,204,0.39
650,>lcl|CP031558.1_cds_AYJ08389.1_651,864,0.39
651,>lcl|CP031558.1_cds_AYJ08390.1_652,684,0.39
652,>lcl|CP031558.1_cds_AYJ08391.1_653,966,0.39
653,>lcl|CP031558.1_cds_AYJ08392.1_654,822,0.39
654,>lcl|CP031558.1_cds_655,194,0.39
655,>lcl|CP031558.1_cds_AYJ08393.1_656,939,0.39
656,>lcl|CP031558.1_cds_AYJ09172.1_657,1239,0.39
657,>lcl|CP031558.1_cds_AYJ08394.1_658,237,0.39
658,>lcl|CP031558.1_cds_AYJ08395.1_659,744,0.39
659,>lcl|CP031558.1_cds_AYJ08396.1_660,213,0.39
660,>lcl|CP031558.1_cds_AYJ08397.1_661,1251,0.39
661,>lcl|CP031558.1_cds_AYJ08398.1_662,246,0.39
662,>lcl|CP031558.1_cds_AYJ08399.1_663,648,0.39
663,>lcl|CP031558.1_cds_AYJ08400.1_664,822,0.39
664,>lcl|CP031558.1_cds_AYJ08401.1_665,1047,0.39
665,>lcl|CP031558.1_cds_AYJ09173.1_666,768,0.39
666,>lcl|CP031558.1_cds_AYJ08402.1_667,1101,0.39
667,>lcl|CP031558.1_cds_AYJ08403.1_668,1491,0.39
668,>lcl|CP031558.1_cds_AYJ08404.1_669,579,0.39
669,>lcl|CP031558.1_cds_AYJ08405.1_670,540,0.39
670,>lcl|CP031558.1_cds_AYJ08406.1_671,333,0.39
671,>lcl|CP031558.1_cds_AYJ08407.1_672,456,0.39
672,>lcl|CP031558.1_cds_AYJ08408.1_673,699,0.39
673,>lcl|CP031558.1_cds_AYJ08409.1_674,873,0.39
674,>lcl|CP031558.1_cds_AYJ09174.1_675,879,0.39
675,>lcl|CP031558.1_cds_676,2027,0.39
676,>lcl|CP031558.1_cds_AYJ08410.1_677,555,0.39
677,>lcl|CP031558.1_cds_AYJ08411.1_678,1119,0.39
678,>lcl|CP031558.1_cds_679,1019,0.39
679,>lcl|CP031558.1_cds_680,963,0.39
680,>lcl|CP031558.1_cds_AYJ08412.1_681,882,0.39
681,>lcl|CP031558.1_cds_AYJ08413.1_682,372,0.39
682,>lcl|CP031558.1_cds_AYJ08414.1_683,657,0.39
683,>lcl|CP031558.1_cds_AYJ08415.1_684,231,0.39
684,>lcl|CP031558.1_cds_AYJ08416.1_685,2940,0.39
685,>lcl|CP031558.1_cds_AYJ08417.1_686,996,0.39
686,>lcl|CP031558.1_cds_AYJ08418.1_687,342,0.39
687,>lcl|CP031558.1_cds_AYJ08419.1_688,1128,0.39
688,>lcl|CP031558.1_cds_AYJ08420.1_689,822,0.39
689,>lcl|CP031558.1_cds_AYJ08421.1_690,555,0.39
690,>lcl|CP031558.1_cds_AYJ08422.1_691,1779,0.39
691,>lcl|CP031558.1_cds_AYJ08423.1_692,165,0.39
692,>lcl|CP031558.1_cds_AYJ08424.1_693,1470,0.39
693,>lcl|CP031558.1_cds_AYJ08425.1_694,579,0.39
694,>lcl|CP031558.1_cds_AYJ08426.1_695,1980,0.39
695,>lcl|CP031558.1_cds_AYJ08427.1_696,1122,0.39
696,>lcl|CP031558.1_cds_AYJ08428.1_697,1302,0.39
697,>lcl|CP031558.1_cds_AYJ08429.1_698,930,0.39
698,>lcl|CP031558.1_cds_AYJ08430.1_699,1533,0.39
699,>lcl|CP031558.1_cds_AYJ08431.1_700,657,0.39
700,>lcl|CP031558.1_cds_AYJ09175.1_701,570,0.39
701,>lcl|CP031558.1_cds_702,1022,0.39
702,>lcl|CP031558.1_cds_AYJ08432.1_703,2085,0.39
703,>lcl|CP031558.1_cds_704,1438,0.39
704,>lcl|CP031558.1_cds_AYJ08433.1_705,705,0.39
705,>lcl|CP031558.1_cds_AYJ08434.1_706,3081,0.39
706,>lcl|CP031558.1_cds_AYJ08435.1_707,570,0.39
707,>lcl|CP031558.1_cds_708,9587,0.39
708,>lcl|CP031558.1_cds_709,757,0.39
709,>lcl|CP031558.1_cds_AYJ09176.1_710,162,0.39
710,>lcl|CP031558.1_cds_711,313,0.39
711,>lcl|CP031558.1_cds_712,154,0.39
712,>lcl|CP031558.1_cds_AYJ08436.1_713,336,0.39
713,>lcl|CP031558.1_cds_AYJ08437.1_714,1971,0.39
714,>lcl|CP031558.1_cds_AYJ08438.1_715,942,0.39
715,>lcl|CP031558.1_cds_AYJ08439.1_716,1734,0.39
716,>lcl|CP031558.1_cds_AYJ08440.1_717,576,0.39
717,>lcl|CP031558.1_cds_AYJ08441.1_718,999,0.39
718,>lcl|CP031558.1_cds_719,1213,0.39
719,>lcl|CP031558.1_cds_AYJ08442.1_720,522,0.39
720,>lcl|CP031558.1_cds_AYJ08443.1_721,2247,0.39
721,>lcl|CP031558.1_cds_AYJ08444.1_722,366,0.39
722,>lcl|CP031558.1_cds_AYJ08445.1_723,1350,0.39
723,>lcl|CP031558.1_cds_AYJ08446.1_724,1128,0.39
724,>lcl|CP031558.1_cds_AYJ08447.1_725,1080,0.39
725,>lcl|CP031558.1_cds_AYJ09177.1_726,1206,0.39
726,>lcl|CP031558.1_cds_AYJ08448.1_727,1059,0.39
727,>lcl|CP031558.1_cds_AYJ08449.1_728,2046,0.39
728,>lcl|CP031558.1_cds_AYJ08450.1_729,585,0.39
729,>lcl|CP031558.1_cds_AYJ08451.1_730,1155,0.39
730,>lcl|CP031558.1_cds_AYJ08452.1_731,1737,0.39
731,>lcl|CP031558.1_cds_AYJ08453.1_732,675,0.39
732,>lcl|CP031558.1_cds_AYJ08454.1_733,537,0.39
733,>lcl|CP031558.1_cds_AYJ08455.1_734,1539,0.39
734,>lcl|CP031558.1_cds_AYJ08456.1_735,447,0.39
735,>lcl|CP031558.1_cds_AYJ08457.1_736,453,0.39
736,>lcl|CP031558.1_cds_AYJ08458.1_737,915,0.39
737,>lcl|CP031558.1_cds_AYJ08459.1_738,1221,0.39
738,>lcl|CP031558.1_cds_739,225,0.39
739,>lcl|CP031558.1_cds_AYJ08460.1_740,903,0.39
740,>lcl|CP031558.1_cds_AYJ08461.1_741,345,0.39
741,>lcl|CP031558.1_cds_AYJ08462.1_742,927,0.39
742,>lcl|CP031558.1_cds_AYJ08463.1_743,813,0.39
743,>lcl|CP031558.1_cds_AYJ09178.1_744,2808,0.39
744,>lcl|CP031558.1_cds_AYJ08464.1_745,1146,0.39
745,>lcl|CP031558.1_cds_AYJ08465.1_746,477,0.39
746,>lcl|CP031558.1_cds_AYJ08466.1_747,2487,0.39
747,>lcl|CP031558.1_cds_AYJ08467.1_748,387,0.39
748,>lcl|CP031558.1_cds_AYJ08468.1_749,1029,0.39
749,>lcl|CP031558.1_cds_AYJ08469.1_750,507,0.39
750,>lcl|CP031558.1_cds_AYJ08470.1_751,2298,0.39
751,>lcl|CP031558.1_cds_AYJ08471.1_752,2142,0.39
752,>lcl|CP031558.1_cds_AYJ08472.1_753,1002,0.39
753,>lcl|CP031558.1_cds_AYJ08473.1_754,1365,0.39
754,>lcl|CP031558.1_cds_AYJ08474.1_755,624,0.39
755,>lcl|CP031558.1_cds_AYJ08475.1_756,699,0.39
756,>lcl|CP031558.1_cds_AYJ08476.1_757,1176,0.39
757,>lcl|CP031558.1_cds_AYJ08477.1_758,813,0.39
758,>lcl|CP031558.1_cds_AYJ09179.1_759,1929,0.39
759,>lcl|CP031558.1_cds_AYJ08478.1_760,2304,0.39
760,>lcl|CP031558.1_cds_AYJ08479.1_761,747,0.39
761,>lcl|CP031558.1_cds_AYJ08480.1_762,1302,0.39
762,>lcl|CP031558.1_cds_AYJ08481.1_763,351,0.39
763,>lcl|CP031558.1_cds_AYJ08482.1_764,483,0.39
764,>lcl|CP031558.1_cds_AYJ09180.1_765,399,0.39
765,>lcl|CP031558.1_cds_AYJ08483.1_766,495,0.39
766,>lcl|CP031558.1_cds_AYJ08484.1_767,2367,0.39
767,>lcl|CP031558.1_cds_AYJ08485.1_768,948,0.39
768,>lcl|CP031558.1_cds_AYJ08486.1_769,768,0.39
769,>lcl|CP031558.1_cds_AYJ08487.1_770,507,0.39
770,>lcl|CP031558.1_cds_AYJ08488.1_771,1092,0.39
771,>lcl|CP031558.1_cds_772,679,0.39
772,>lcl|CP031558.1_cds_773,267,0.39
773,>lcl|CP031558.1_cds_AYJ08489.1_774,1173,0.39
774,>lcl|CP031558.1_cds_AYJ08490.1_775,813,0.39
775,>lcl|CP031558.1_cds_AYJ08491.1_776,1434,0.39
776,>lcl|CP031558.1_cds_777,4844,0.39
777,>lcl|CP031558.1_cds_AYJ08492.1_778,1290,0.39
778,>lcl|CP031558.1_cds_AYJ08493.1_779,1374,0.39
779,>lcl|CP031558.1_cds_AYJ08494.1_780,516,0.39
780,>lcl|CP031558.1_cds_AYJ08495.1_781,1098,0.39
781,>lcl|CP031558.1_cds_AYJ08496.1_782,720,0.39
782,>lcl|CP031558.1_cds_AYJ08497.1_783,465,0.39
783,>lcl|CP031558.1_cds_AYJ08498.1_784,1008,0.39
784,>lcl|CP031558.1_cds_AYJ08499.1_785,1218,0.39
785,>lcl|CP031558.1_cds_AYJ08500.1_786,1428,0.39
786,>lcl|CP031558.1_cds_AYJ08501.1_787,1299,0.39
787,>lcl|CP031558.1_cds_AYJ08502.1_788,1152,0.39
788,>lcl|CP031558.1_cds_AYJ09181.1_789,2721,0.39
789,>lcl|CP031558.1_cds_AYJ08503.1_790,1083,0.39
790,>lcl|CP031558.1_cds_AYJ08504.1_791,504,0.39
791,>lcl|CP031558.1_cds_AYJ08505.1_792,624,0.39
792,>lcl|CP031558.1_cds_793,1265,0.39
793,>lcl|CP031558.1_cds_AYJ08506.1_794,591,0.39
794,>lcl|CP031558.1_cds_AYJ08507.1_795,1407,0.39
795,>lcl|CP031558.1_cds_AYJ08508.1_796,1269,0.39
796,>lcl|CP031558.1_cds_AYJ08509.1_797,408,0.39
797,>lcl|CP031558.1_cds_AYJ08510.1_798,822,0.39
798,>lcl|CP031558.1_cds_AYJ09182.1_799,1683,0.39
799,>lcl|CP031558.1_cds_AYJ08511.1_800,294,0.39
800,>lcl|CP031558.1_cds_AYJ08512.1_801,1320,0.39
801,>lcl|CP031558.1_cds_AYJ08513.1_802,654,0.39
802,>lcl|CP031558.1_cds_AYJ08514.1_803,1197,0.39
803,>lcl|CP031558.1_cds_AYJ08515.1_804,696,0.39
804,>lcl|CP031558.1_cds_805,921,0.39
805,>lcl|CP031558.1_cds_AYJ08516.1_806,1245,0.39
806,>lcl|CP031558.1_cds_AYJ08517.1_807,723,0.39
807,>lcl|CP031558.1_cds_AYJ08518.1_808,402,0.39
808,>lcl|CP031558.1_cds_AYJ08519.1_809,1737,0.39
809,>lcl|CP031558.1_cds_AYJ08520.1_810,633,0.39
810,>lcl|CP031558.1_cds_AYJ08521.1_811,423,0.39
811,>lcl|CP031558.1_cds_AYJ08522.1_812,471,0.39
812,>lcl|CP031558.1_cds_AYJ08523.1_813,1053,0.39
813,>lcl|CP031558.1_cds_AYJ08524.1_814,1332,0.39
814,>lcl|CP031558.1_cds_815,1963,0.39
815,>lcl|CP031558.1_cds_816,917,0.39
816,>lcl|CP031558.1_cds_AYJ08525.1_817,987,0.39
817,>lcl|CP031558.1_cds_AYJ08526.1_818,1032,0.39
818,>lcl|CP031558.1_cds_AYJ08527.1_819,1068,0.39
819,>lcl|CP031558.1_cds_AYJ08528.1_820,204,0.39
820,>lcl|CP031558.1_cds_AYJ08529.1_821,1713,0.39
821,>lcl|CP031558.1_cds_822,1846,0.39
822,>lcl|CP031558.1_cds_AYJ08530.1_823,1320,0.39
823,>lcl|CP031558.1_cds_AYJ08531.1_824,462,0.39
824,>lcl|CP031558.1_cds_AYJ08532.1_825,1110,0.39
825,>lcl|CP031558.1_cds_AYJ08533.1_826,477,0.39
826,>lcl|CP031558.1_cds_AYJ09183.1_827,1044,0.4
827,>lcl|CP031558.1_cds_AYJ08534.1_828,726,0.4
828,>lcl|CP031558.1_cds_AYJ08535.1_829,1482,0.4
829,>lcl|CP031558.1_cds_AYJ08536.1_830,486,0.4
830,>lcl|CP031558.1_cds_AYJ08537.1_831,957,0.4
